date,index,ratio,odds,hcount,before,after,
2015/1/18,3,0.047,13.7,18,307238,14431,
2015/1/18,4,0.188,5.3,17,14431,2709,
2015/1/18,5,0.049,12.1,18,2709,134,
2015/1/25,1,0.305,1.9,16,7779920,2370569,
2015/1/25,2,0.347,2.5,16,2370569,822171,
2015/1/25,3,0.347,2.5,14,822171,285205,
2015/1/25,4,0.043,13.8,17,285205,12304,
2015/1/25,5,0.010,54.3,16,12304,119,
2015/2/1,1,0.526,1.7,14,6921129,3643895,
2015/2/1,2,0.153,5.1,13,3643895,558077,
2015/2/1,3,0.052,15.0,16,558077,29110,
2015/2/1,4,0.229,4.4,17,29110,6656,
2015/2/1,5,0.267,3.4,16,6656,1774,
2015/2/8,1,0.110,9.4,16,7028883,770649,
2015/2/8,2,0.107,7.4,13,770649,82430,
2015/2/8,3,0.188,4.7,13,82430,15469,
2015/2/8,4,0.450,1.7,8,15469,6961,
2015/2/8,5,0.132,6.0,16,6961,916,
2015/2/15,1,0.062,9.9,10,8348540,520317,
2015/2/15,2,0.119,7.5,15,520317,61759,
2015/2/15,3,0.032,19.3,16,61759,1986,
2015/2/15,4,0.122,8.5,11,1986,242,
2015/2/15,5,0.145,6.1,12,242,35,
2015/2/22,1,0.272,3.0,16,6836387,1861950,
2015/2/22,2,0.435,2.4,14,1861950,809700,
2015/2/22,3,0.131,5.4,16,809700,105812,
2015/2/22,4,0.170,6.0,16,105812,18022,
2015/2/22,5,0.475,2.1,16,18022,8555,
2015/3/1,1,0.254,2.9,16,7043830,1786542,
2015/3/1,2,0.036,15.5,15,1786542,64305,
2015/3/1,3,0.063,14.5,14,64305,4083,
2015/3/1,4,0.145,6.6,16,4083,592,
2015/3/1,5,0.186,4.7,11,592,110,
2015/3/8,1,0.242,3.7,11,6514220,1575748,
2015/3/8,2,0.131,6.7,16,1575748,207139,
2015/3/8,3,0.112,6.4,16,207139,23123,
2015/3/8,4,0.052,11.9,16,23123,1206,
2015/3/8,5,0.148,6.3,11,1206,179,
2015/3/15,1,0.174,5.4,16,6737377,1174565,
2015/3/15,2,0.100,8.1,14,1174565,117154,
2015/3/15,3,0.177,5.2,18,117154,20750,
2015/3/15,4,0.274,3.6,18,20750,5683,
2015/3/15,5,0.213,5.2,14,5683,1208,
2015/3/22,1,0.232,3.2,16,7779718,1807876,
2015/3/22,2,0.102,7.5,16,1807876,184735,
2015/3/22,3,0.215,4.2,11,184735,39666,
2015/3/22,4,0.489,1.6,10,39666,19400,
2015/3/22,5,0.057,12.3,11,19400,1107,
2015/3/29,1,0.081,9.5,13,7184639,582659,
2015/3/29,2,0.117,8.0,11,582659,68010,
2015/3/29,3,0.122,5.2,17,68010,8284,
2015/3/29,4,0.081,13.5,16,8284,669,
2015/3/29,5,0.145,6.5,18,669,97,
2015/4/5,1,0.190,5.0,12,7570822,1439599,
2015/4/5,2,0.183,5.0,14,1439599,263155,
2015/4/5,3,0.265,2.7,14,263155,69817,
2015/4/5,4,0.051,12.0,14,69817,3560,
2015/4/5,5,0.234,3.1,16,3560,832,
2015/4/12,1,0.249,3.5,14,7907882,1971867,
2015/4/12,2,0.013,38.5,12,1971867,25818,
2015/4/12,3,0.181,4.2,15,25818,4684,
2015/4/12,4,0.124,7.1,16,4684,580,
2015/4/12,5,0.084,10.2,18,580,49,
2015/4/19,1,0.385,1.9,16,7312490,2817821,
2015/4/19,2,0.324,2.9,16,2817821,912453,
2015/4/19,3,0.062,9.2,15,912453,56748,
2015/4/19,4,0.254,3.9,15,56748,14393,
2015/4/19,5,0.188,4.6,15,14393,2702,
2015/4/26,1,0.172,4.8,16,7094896,1219327,
2015/4/26,2,0.193,4.7,11,1219327,235332,
2015/4/26,3,0.241,3.9,16,235332,56631,
2015/4/26,4,0.024,22.4,18,56631,1345,
2015/4/26,5,0.143,6.0,17,1345,193,
2015/5/3,1,0.019,26.4,11,7225208,134207,
2015/5/3,2,0.054,22.3,16,134207,7209,
2015/5/3,3,0.174,3.8,16,7209,1257,
2015/5/3,4,0.290,2.0,15,1257,365,
2015/5/3,5,0.167,4.6,17,365,61,
2015/5/10,1,0.038,15.6,11,6668242,253201,
2015/5/10,2,0.288,2.3,16,253201,72973,
2015/5/10,3,0.072,10.7,16,72973,5249,
2015/5/10,4,0.021,20.8,14,5249,109,
2015/5/10,5,0.183,6.4,18,109,20,
2015/5/17,1,0.017,23.0,16,6627206,109466,
2015/5/17,2,0.104,7.7,12,109466,11399,
2015/5/17,3,0.167,4.2,11,11399,1908,
2015/5/17,4,0.106,6.5,15,1908,202,
2015/5/17,5,0.054,14.1,18,202,11,
2015/5/24,1,0.038,18.6,10,6643546,254156,
2015/5/24,2,0.182,3.8,14,254156,46163,
2015/5/24,3,0.011,94.8,16,46163,499,
2015/5/24,4,0.086,6.0,13,499,43,
2015/5/24,5,0.070,6.8,17,43,3,
2015/5/31,1,0.048,15.1,18,7082173,341721,
2015/5/31,2,0.150,4.9,16,341721,51410,
2015/5/31,3,0.163,4.5,17,51410,8383,
2015/5/31,4,0.439,1.7,17,8383,3684,
2015/5/31,5,0.467,1.9,18,3684,1720,
2015/6/7,1,0.158,6.1,13,6250049,990545,
2015/6/7,2,0.197,5.4,11,990545,195550,
2015/6/7,3,0.174,6.6,15,195550,34049,
2015/6/7,4,0.006,44.8,11,34049,190,
2015/6/7,5,0.168,3.7,17,190,32,
2015/6/14,1,0.149,6.1,16,6538745,971699,
2015/6/14,2,0.004,101.0,16,971699,4060,
2015/6/14,3,0.046,22.0,18,4060,188,
2015/6/14,4,0.043,15.6,16,188,8,
2015/6/14,5,0.250,3.0,13,8,2,
2015/6/21,1,0.210,3.8,16,6769769,1419249,
2015/6/21,2,0.554,1.5,11,1419249,786708,
2015/6/21,3,0.153,6.3,16,786708,120630,
2015/6/21,4,0.223,3.5,10,120630,26936,
2015/6/21,5,0.189,4.6,16,26936,5086,
2015/6/28,1,0.284,2.4,16,7475364,2120052,
2015/6/28,2,0.020,23.5,14,2120052,41437,
2015/6/28,3,0.035,18.7,16,41437,1470,
2015/6/28,4,0.031,29.6,16,1470,46,
2015/6/28,5,0.065,14.2,16,46,3,
2015/7/5,1,0.272,2.9,16,6080420,1652116,
2015/7/5,2,0.279,3.5,14,1652116,460352,
2015/7/5,3,0.310,3.2,8,460352,142624,
2015/7/5,4,0.199,5.1,17,142624,28357,
2015/7/5,5,0.373,2.8,16,28357,10564,
2015/7/12,1,0.240,3.3,16,6169713,1481160,
2015/7/12,2,0.519,1.8,13,1481160,769337,
2015/7/12,3,0.115,6.3,13,769337,88229,
2015/7/12,4,0.106,6.7,16,88229,9392,
2015/7/12,5,0.207,4.5,16,9392,1940,
2015/7/19,1,0.012,46.1,14,5968836,69277,
2015/7/19,2,0.029,47.5,15,69277,2001,
2015/7/19,3,0.107,6.4,16,2001,214,
2015/7/19,4,0.145,7.2,14,214,31,
2015/7/19,5,0.065,10.9,14,31,2,
2015/7/26,1,0.276,2.9,16,5561890,1533898,
2015/7/26,2,0.185,4.4,15,1533898,283425,
